PollingPlaceNm,PremisesNm,PremisesAddress,PremisesSuburb
Beaconsfield,Beaconsfield Senior Citizens' Hall,92 Weld St,Beaconsfield
Beauty Point,Beauty Point Uniting Church Hall,7 Beatty St,Beauty Point
Branxholm,Branxholm Community Hall,9 Stoke St,Branxholm
Bridport,Bridport Hall,Main St,Bridport
Dilston,Dilston War Memorial Hall,308 John Lees Dr,Dilston
East Launceston,East Launceston Primary School,18 Mary St,East Launceston
Exeter,Exeter High School,28 Glen Ard Mohr Rd,Exeter
George Town,George Town Memorial Hall,29-67 Macquarie St,George Town
George Town South,George Town South Primary School,48-70 Franklin St,George Town
Gladstone,Gladstone Hall,1 Carr St,Gladstone
Glengarry,St Canice Church Hall,33 Glengarry Rd,Glengarry
Gravelly Beach,"Gravelly Beach Main Hall, Edinburgh Park",401 Gravelly Beach Rd,Gravelly Beach
Hillwood,Hillwood Memorial Hall,280 Jetty Rd,Hillwood
Invermay,The Tramsheds Function Centre,4 Invermay Road,Inveresk
Inveresk,Invermay Primary School,35-43 Mayne St,Invermay
Karoola,Karoola Hall,1126 Pipers River Rd,Karoola
Kelso,Kelso Community Centre,Foreshore Rd,Kelso
Lady Barron,Lady Barron Memorial Hall,10 Main St,Lady Barron
Launceston Central,Chalmers Hall,163 St John St,Launceston
Launceston,Launceston Voting Centre,182-192 Cimitiere St,Launceston
Lebrina,Lebrina Memorial Hall,905 Golconda Rd,Lebrina
Legana,Legana Memorial Hall,43 Fulton St,Legana
Lilydale,Lilydale Memorial Hall,1949 Main Rd,Lilydale
Mowbray,Launceston Church Grammar School,36 Button St,Mowbray
Newnham,Launceston North Uniting Church,128 George Town Rd,Newnham
Newstead,Police Citizens & Youth Club,148 Abbott St,Newstead
Kings Meadows,Punchbowl Primary School,146 Punchbowl Rd,Newstead
Norwood,Norwood Primary School,103 Norwood Ave,Norwood
Nunamara,Nunamara Hall,39461 Tasman Hwy,Nunamara
Pipers River,Pipers River Fire Station,76 School Rd,Pipers River
Prospect,Prospect High School,30-32 Ralph St,Prospect
Ravenswood,Ravenswood Heights Primary School,27 Prossers Forest Rd,Ravenswood
Ringarooma,Ringarooma Hall,4 Charles St,Ringarooma
Riverside,Riverside High School,354 West Tamar Hwy,Riverside
Rocherlea,Rocherlea Memorial Hall,41 Archer St,Rocherlea
Scottsdale,Scottsdale High School,20 Coplestone St,Scottsdale
Sidmouth,Sidmouth Community Centre,255 Batman Hwy,Sidmouth
South Launceston,Launceston Conference Centre (Door of Hope Complex),50 Glen Dhu St,South Launceston
Five Ways,St Mark's Church Hall,6 Hobart Rd,South Launceston
St Leonards,St Leonards Primary School,330-342 St Leonards Rd,St Leonards
Summerhill,Summerhill Baptist Church,87 Stanley St,Summerhill
Riverside West,Trevallyn Life Church,34 Pitt Ave,Trevallyn
Trevallyn,Trevallyn Primary School,55 Gorge Rd,Trevallyn
Waverley,Waverley Primary School,6 Naroo St,Waverley
West Launceston,West Launceston Primary School,24-38 Basin Rd,West Launceston
Weymouth,Weymouth Hall,18 Major St,Weymouth
Whitemark,Flinders Arts & Entertainment Centre (FAEC),9 Patrick St,Whitemark
Winnaleah,Winnaleah Memorial Hall,20 Main St,Winnaleah
Youngtown,Youngtown Primary School,Cnr Victoria & Napier Sts,Youngtown
