2025 Federal Election Senate First Preferences By Polling Place for Division 196 [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:29 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,196,Lyons,8550,Avoca,G,41779,2,"HANNAN, Christine",Jacqui Lambie Network,0
TAS,196,Lyons,8550,Avoca,H,42120,0,H Above-the-line Votes,Libertarian,1
TAS,196,Lyons,8550,Avoca,H,41698,1,"ABRAHAM, Chrysten",Libertarian,0
TAS,196,Lyons,8550,Avoca,H,41701,2,"ARMSTRONG, Nicole",Libertarian,0
TAS,196,Lyons,8550,Avoca,I,42118,0,I Above-the-line Votes,Pauline Hanson's One Nation,9
TAS,196,Lyons,8550,Avoca,I,41175,1,"HANSON, Lee",Pauline Hanson's One Nation,3
TAS,196,Lyons,8550,Avoca,I,41177,2,"DUNN, James",Pauline Hanson's One Nation,0
TAS,196,Lyons,8550,Avoca,J,42114,0,J Above-the-line Votes,Citizens Party,0
TAS,196,Lyons,8550,Avoca,J,40837,1,"STAGGARD, Daryl",Citizens Party,0
TAS,196,Lyons,8550,Avoca,J,40840,2,"WILLIAMS, Ray",Citizens Party,0
TAS,196,Lyons,8550,Avoca,K,42116,0,K Above-the-line Votes,Australian Labor Party,47
TAS,196,Lyons,8550,Avoca,K,41721,1,"BROWN, Carol",Australian Labor Party,2
TAS,196,Lyons,8550,Avoca,K,41722,2,"DOWLING, Richard",Australian Labor Party,1
TAS,196,Lyons,8550,Avoca,K,41724,3,"FALLS, Bailey",Australian Labor Party,0
TAS,196,Lyons,8550,Avoca,K,41728,4,"O'DONNELL, Saxon",Australian Labor Party,0
TAS,196,Lyons,8550,Avoca,K,41730,5,"LUCKMAN, Greg",Australian Labor Party,0
TAS,196,Lyons,8550,Avoca,K,41734,6,"MEYERS, Amelia Louise",Australian Labor Party,0
TAS,196,Lyons,8550,Avoca,L,42121,0,L Above-the-line Votes,"Shooters, Fishers and Farmers Party",18
TAS,196,Lyons,8550,Avoca,L,42012,1,"BIGG, Phillip","Shooters, Fishers and Farmers Party",0
TAS,196,Lyons,8550,Avoca,L,42014,2,"ROACH, Melanie","Shooters, Fishers and Farmers Party",0
TAS,196,Lyons,8550,Avoca,UG,42066,1,"EDWARDS, Fenella",Independent,1
TAS,196,Lyons,8550,Avoca,ZZ,0,99,INFORMAL,,5
